text,label,paraphrase,similarity,llm_valid,gpt_orig_labels,gpt_para_labels,mis_orig_labels,mis_para_labels,gpt_orig_conf,gpt_para_conf,mis_orig_conf,mis_para_conf,gpt_orig_pred,gpt_para_pred,mis_orig_pred,mis_para_pred,gpt_flip,mis_flip
"Absolutely Awful Service.  Went to Papa J's awhile ago and the service was bad - the waiter was surly, rude and unhelpful..  Decided to try it again since it is close to Stage 62.  Big mistake.  Greeted by a dour manager that seemed mad that we had a reservation. 30 minutes to get a glass of wine.  At one hour and 45 minutes complained to the manager that we still had not received out entrees.  He said 'What do you want me to do about it?\"" and said they had a busy night.  This is when tables around us sat empty. I then had to go back to the manager to give us our bill so we could get away from this ruined evening.  The bill was prepared incorrectly. If you want average food and terrible service, this is your place.  We will never go back.",0,"Terrible service experience. I visited Papa J's some time ago and found the service lacking—the waiter was unfriendly, impolite, and not helpful. I gave it another shot because it's near Stage 62, but it was a huge error. We were met by a gloomy manager who seemed annoyed about our reservation. It took 30 minutes just to get a glass of wine. After an hour and 45 minutes, I complained to the manager about not having received our entrees yet. He dismissively asked, ""What do you want me to do about it?"" and mentioned they were having a busy night, although many tables around us were vacant. I had to approach the manager again to request the bill so we could leave this ruined evening behind. The bill was also incorrectly prepared. If you're looking for mediocre food and dreadful service, this is the spot for you. We won't be returning.",0.93464416,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"I love this place! The food is always so fresh and delicious. The staff is always friendly, as well.",4,"I adore this spot! The meals are consistently fresh and tasty. The staff is consistently welcoming, too.",0.86408454,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"spinach/feta cheese salad:  B-\npesto alfredo penne :  :A+\nCoconut Cake huge piece:  A+\nbread small portions:  B\nService B \nhost seemed grumpy, waitress good, but then she got busy .\nPRICE: Pasta was $15 and the portion smallish more like a $12.99 dish \nARRIVE EARLY ON SATURDAY NIGHT THIS PLACE PACKED after 6pm",3,"spinach and feta cheese salad: B-\npesto alfredo penne: A+\nCoconut Cake large slice: A+\nbread limited servings: B\nService: B\nhost appeared irritable, waitress was efficient, but later got overwhelmed.\nPRICE: Pasta cost $15, yet the serving size was closer to that of a $12.99 meal.\nARRIVE EARLY ON SATURDAY NIGHT; THE LOCATION GETS CROWDED after 6pm.",0.94196093,YES,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Negative', 'Negative', 'Negative', 'Neutral', 'Negative']","['Negative', 'Negative', 'Negative', 'Neutral', 'Negative']",1.0,1.0,0.8,0.8,Neutral,Neutral,Negative,Negative,False,False
It was just what we were looking for. The service was great. My husband had the veal sausage on green pepper appetizer in the larger size. It was great (spicy) and enough for a meal. I had the stuffed eggplant. That was very good but the sauce could have been a bit heartier. I would definitely go back. Really nice atmosphere and free parking in the back.,4,"It was exactly what we wanted. The service was excellent. My husband ordered the larger portion of veal sausage with green pepper as an appetizer. It was deliciously spicy and substantial enough to be a meal. I chose the stuffed eggplant, which was very tasty, although the sauce could have been richer. I would certainly return. The atmosphere was very pleasant, and there was free parking available at the back.",0.9319318,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"Finally, great Tuscan-style Italian food in Pittsburgh, not that tasteless stuff that locals think is Italian.\n\nThe bread was warm and fresh. The bolognese sauce was creamy and rich, and unlike most restaurants was made with veal. I love the fresh smell of baking bread throughout the restaurant.\n\nI'm looking forward to working my way through the menu of chicken options, and next time, I'm saving room for dessert! The display of cakes and pastries at the door was amazing.",4,"At last, authentic Tuscan-style Italian cuisine in Pittsburgh, unlike the bland dishes some locals consider Italian.

The bread was warm and freshly baked. The bolognese sauce was creamy and flavorful, and uniquely made with veal. I enjoyed the fresh aroma of baking bread wafting through the restaurant.

I'm eager to try all the chicken dishes on the menu, and next time, I'll make sure to leave space for dessert! The array of cakes and pastries at the entrance was impressive.",0.91653204,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"Man has this place gone down hill.  My husband and I went a couple of weeks ago.  We had salads and pasta.  Both were on the verge of inedible.  With a single glass of wine, I felt downright robbed at the $50 price tag.  Seriously, I could have easily made what we had with jarred sauce and boxed pasta at home. Classico is better.  And the service was pretty absent to make it even worse... seemed she knew it was terrible and didn't want to deal with it.  Seriously, I'd rather eat at the OG.",1,"Wow, this place has really deteriorated. My husband and I visited a few weeks back. We ordered salads and pasta, both of which were nearly inedible. Spending $50 for just one glass of wine left me feeling completely ripped off. Honestly, I could have prepared the same meal using jarred sauce and boxed pasta at home. Classico tastes superior. Plus, the service was almost nonexistent, as if the server was aware of how bad it was and chose to avoid it. Honestly, I'd prefer dining at the OG.",0.9195107,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"Talk about overpriced. $18 for a fairly basic pasta with some obviously frozen chicken chopped up over it. The latter was terrible, thin and flabby and rather unappealing. The pasta itself was ok, as was the sauce. The desserts are pretty good. But honestly, that is a $10 dish whose price has been inflated.",2,"That's what I call overpriced. Paying $18 for a simple pasta dish topped with clearly frozen chicken is excessive. The chicken was awful—thin, limp, and quite unappetizing. The pasta and sauce were decent. The desserts are quite nice. However, this is essentially a $10 dish that's been marked up.",0.9287267,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"I've decided where I stand with Emmert Dental. They are unprofessional, rude and have no clue what they're doing (behind the desk). I will not be going back nor will I have nice things to say about them.",0,"I've made up my mind about Emmert Dental. They lack professionalism, are impolite, and seem incompetent at their front desk duties. I won't return, and I won't speak positively about them.",0.9166696,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"THE WORST DENTAL EXPERIENCE OF MY LIFE.  THEY ARE BUTCHERS!  My husband and I went to Emmert Dental in Bethel Park for a routine cleaning and check up.  I had one tooth that I had a recent root canal on and a few small cavities that needed filled.  After the so called dentist - Dr Carnavali - did my exam, I needed 3 additional root canals and an extraction! An extraction on the tooth that just had a root canal. I was told that part of the tooth had broken off and that a crown was no longer possible.  I didn't know any better, so I agreed to schedule the extraction for a few weeks later. The \""dentist\"" wanted to extract it that day, but I had plans for the weekend and was not about to be in pain. So, 2 weeks later, I went in for the extraction.  After they gave me novocaine they get me with \""you need a bone graft also in that area since we are extracting that tooth\"". I have never had any issues with bone loss with previous extractions so I didn't feel it was necessary. I had 3 employees surrounding me, pressuring me for this bone graft. So, I reluctantly agreed. I had to pay $259.00 for this \""bone graft\"". So, I signed everything. I wasn't even given enough time to read the document, so I should have known and got up and left right then and there. The \""dentist\"" started the extraction. I have never been so uncomfortable in my life. He pulled on my tooth, used a metal instrument to pound on my tooth and was pulling so hard that my head was coming up and slamming back down against the head rest.  Finally, after a good 15 minutes of this torture, he ripped the tooth out of the side of my jaw. I was literally ganging from all the blood running down the back of my throat. He then stuck some pink powder up in the extraction area. I'm assuming this was the bone graft.  I ended up with many stitches. I was given an antibiotic and instructed to schedule an appointment for the following Saturday so they could start the bridge. Then I was hit with a bill of $569.00! My insurance covers 100% of extractions.  I was in so much pain for 2 weeks following the extraction. Pain severe enough that I had to call off work and I couldn't sleep at night.  I refused to go back to Emmert Dental.  And after a visit to a very reputable dentist, an endodontist and an oral surgeon, I have to have oral surgery to try and repair the damage Emmert Dental has done to my mouth.  They caused a very large deformity in my jaw and I am at risk to lose additional teeth.  Save yourself a lot of time, money and pain.  Emmert dental only cares about the money, will over charge you and leave you less than happy with the dental work.  They are butchers and should not even call themselves dentist. And if you have an issue with their billing practices, don't expect to that resolved easily.  I have called numerous times and I am always told that the manager and or billing department is not in.  I have contacted the BBB and a lawyer.  I expect and want a full refund.  No one should have to go thru what I am currently going thru.  They do unnecessary extractions so they can do a more expensive procedure such as a bridge or an implant.  Now I have to go thru oral surgery, more pain and suffering and more time missed from work because of Emmert Dental.  And the root canals they said I needed, my current dentist and my endodontist both agreed that I do not need tooth canals.  In fact, the teeth are perfectly healthy.  They are crooks and butchers.",0,"THE MOST HORRIFIC DENTAL EXPERIENCE I'VE EVER HAD. THEY ARE NOTHING SHORT OF BUTCHERS! My husband and I visited Emmert Dental in Bethel Park for a routine cleaning and checkup. I had recently undergone a root canal on one tooth and had a few minor cavities that needed filling. However, after the so-called dentist, Dr. Carnavali, conducted my exam, I was suddenly told I needed three more root canals and an extraction! The extraction was for the same tooth that had just undergone a root canal. I was informed that a part of the tooth had broken off, making a crown impossible. Unaware of the implications, I agreed to schedule the extraction for a few weeks later. The ""dentist"" wanted to proceed immediately, but I had weekend plans and didn't want to endure the pain. Two weeks later, I returned for the extraction. Once numbed with Novocaine, I was confronted with a surprise: ""you need a bone graft also in that area since we are extracting that tooth."" Having never experienced bone loss with previous extractions, I felt it was unnecessary. Yet, surrounded by three employees pressuring me, I reluctantly consented. I paid $259.00 for this ""bone graft."" I signed the paperwork without enough time to read it fully, a clear warning sign to leave then and there. The ""dentist"" began the extraction, and I was in excruciating discomfort. He yanked on my tooth, pounded it with a metal tool, and pulled so forcefully that my head repeatedly slammed against the headrest. After 15 minutes of this ordeal, he finally tore the tooth from my jaw. I was nearly gagging from the blood pouring down my throat. He then applied some pink powder into the extraction site, presumably the bone graft. I ended up with numerous stitches and was prescribed antibiotics, with instructions to schedule a bridge procedure the following Saturday. Then came a bill for $569.00! My insurance fully covers extractions. The pain following the extraction was so intense for two weeks that I had to miss work and couldn't sleep. I refused to return to Emmert Dental. After consulting a reputable dentist, an endodontist, and an oral surgeon, I now require oral surgery to repair the damage inflicted by Emmert Dental. They have left me with a significant deformity in my jaw, risking the loss of more teeth. Spare yourself the time, money, and agony. Emmert Dental is solely motivated by profit, overcharges for their services, and leaves you dissatisfied with their work. They are butchers and should not even be considered dentists. If you encounter issues with their billing, don't expect an easy resolution. Repeated calls lead to responses that the manager or billing department is unavailable. I've reached out to the BBB and consulted a lawyer, seeking a full refund. No one should endure what I am currently experiencing. They perform unnecessary extractions to push more expensive procedures like bridges or implants. Now, because of Emmert Dental, I face oral surgery, additional pain, suffering, and missed work. As for the root canals they claimed I needed, both my current dentist and endodontist confirmed that they were unnecessary. In fact, the teeth are perfectly healthy. They are deceitful and butchers.",0.9039501,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
The worst dental office I ever been. No one can beat it!!! You should avoid it at any time.,0,This is the most terrible dental office I've ever encountered. It's unbeatable in its awfulness! You should steer clear of it always.,0.9028114,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"My expectations for McDonalds are t rarely high. But for one to still fail so spectacularly...that takes something special!\nThe cashier took my friends's order, then promptly ignored me. I had to force myself in front of a cashier who opened his register to wait on the person BEHIND me. I waited over five minutes for a gigantic order that included precisely one kid's meal. After watching two people who ordered after me be handed their food, I asked where mine was. The manager started yelling at the cashiers for \""serving off their orders\"" when they didn't have their food. But neither cashier was anywhere near those controls, and the manager was the one serving food to customers and clearing the boards.\nThe manager was rude when giving me my order. She didn't make sure that I had everything ON MY RECEIPT, and never even had the decency to apologize that I felt I was getting poor service.\nI've eaten at various McDonalds restaurants for over 30 years. I've worked at more than one location. I expect bad days, bad moods, and the occasional mistake. But I have yet to have a decent experience at this store. It will remain a place I avoid unless someone in my party needs to avoid illness from low blood sugar. Perhaps I should go back to the racially biased service of Steak n Shake instead!",0,"I don't usually hold high expectations for McDonald's, but to fail so miserably like this... that's quite remarkable! The cashier took my friend's order and then completely ignored me. I had to force my way to a cashier who had just opened his register for the person behind me. I waited over five minutes for a massive order that consisted of just one kid's meal. After seeing two people who ordered after me receive their food, I inquired about mine. The manager started shouting at the cashiers for ""serving off their orders"" when they didn't even have their food. However, neither cashier was in control of that, as the manager was the one distributing meals and clearing the boards. The manager was impolite when handing me my order, failing to verify that everything on my receipt was included and didn't bother to apologize for the poor service I received. I've been dining at various McDonald's locations for over 30 years and have worked at more than one. I understand there are bad days, bad moods, and occasional errors. Yet, I've never had a satisfactory experience at this particular store. I'll continue to avoid it unless someone with me needs to prevent a low blood sugar incident. Maybe I should return to the racially biased service at Steak n Shake instead!",0.91931355,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"I've tried to give this McDonalds a chance but my patience has run out. The only reason why I came here as much as I did is because I like the $1 iced coffees. But it's not even worth it. This McDonalds is poo and so is most of the staff. \n\nWhenever I want to go through the drive-thru I can't because there is a line of cars wrapped half away around the building. And even when the line is shorter there's always a hold up of some sort. So most of the time I just park and go inside the restaurant. \n\nToday was a horrible day. I ordered an iced coffee (no cream or sugar) and a chocolate chip cookie. It only takes 30 seconds to fill a cup with coffee and 30 seconds to take a cookie out of the case. I waited 10 minutes!! Sorry but that's too long just to get a coffee and a cookie! It's not like I ordered a meal! During that time I saw people come in after me and get their milkshakes and iced coffees within two minutes! WTH?! I told the petite sleepy eyed cashier I wanted my money back! Her eyes opened wide in surprise, like I really woke her up or something. She said,\""Youre the one who ordered the iced coffee? I can get it for you!\"" For real? She was the one who took my order! I told her I waited too long and I just want my money back. The manager offered to make my iced coffee, but  I refused because I had just had enough.\n\nThere are *few* employees there who work hard but everyone else is dragging their feet. There is no organization or teamwork, everyone is scrabbling. It looks like none of them want to be there. I used to work in fast food and I know it sucks, but come on!\n\nI'm sorry but I can't recommend this Mcdonalds. It's poo. I'm not coming back here anymore. Guess I'll be going to Starbucks- and their iced coffees taste better anyway!",0,"I've attempted to give this McDonald's multiple chances, but my patience has finally worn thin. The main reason I frequented this location was for the $1 iced coffees, but even that isn't worth it anymore. This McDonald's is terrible, and so is the majority of the staff.

Whenever I attempt to use the drive-thru, there's a line of cars stretching halfway around the building. Even if the line is shorter, there's always some delay. So, most of the time, I end up parking and going inside.

Today was particularly awful. I ordered an iced coffee (no cream or sugar) and a chocolate chip cookie. It should take only 30 seconds to pour a coffee and another 30 seconds to grab a cookie. Yet, I waited 10 minutes! That's too long for just a coffee and a cookie. It's not like it was a full meal! During my wait, I watched as others, who came in after me, received their milkshakes and iced coffees in under two minutes. What on earth?! I told the small, sleepy-eyed cashier that I wanted a refund. Her eyes widened in surprise, as if I really startled her. She said, ""You're the one who ordered the iced coffee? I can get it for you!"" Seriously? She was the one who took my order in the first place! I told her that the wait was too long and I just wanted my money back. The manager offered to make my iced coffee, but I declined since I was fed up.

There are a few employees who work hard, but the rest seem to be sluggish. There's no organization or teamwork; everyone is scrambling around. It seems like none of them want to be there. I used to work in fast food, so I know it's not easy, but come on!

I'm sorry, but I can't recommend this McDonald's. It's awful. I'm not coming back. I guess I'll start going to Starbucks—and their iced coffees taste better anyway!",0.9089591,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"We had the worst possible experience at the Eat N Park at Waterfront on 2/12/10 at around 10pm. Our waitress (Annemarie) was inattentive and got us the wrong order. We ended up with a dish we had not even ordered and still got charged for it on the check. \n\nOne of my friends ordered a Buffalo Chicken Sandwich, which according to the menu description, should've had lettuce and tomato in it. But the sandwich that arrived on our table had none of those ingredients. When pointed out to the waitress, she just brought some lettuce and tomatoes in a plate! How crude! \n\nSpoke to the manager after paying the full check and first of all, she did not even offer to re-imburse for the item we did not even order, and that had been forcibly thrust upon us. \n\nWhen I asked the manager about the Buffalo Chicken sandwich not having any lettuce and tomato, she said they just got new menus and that description is not correct and that Buffalo Chicken Sandwich is supposed to be without lettuce and tomato! What a lame excuse! Even your online menu says under the description for a Buffalo Chicken sandwich that its supposed to have both those ingredients - \""Served with lettuce and tomato on a fresh-baked Kaiser roll.\"" - That's what the last line in the description of Buffalo Chicken Sandwich says. Shame on you Manager for lying! Instead of admitting her fault, she was blaming it to a new menu!\n\nNot only did we have to pay for something that we didn't order or eat, but we got sub-standard food that was different from what was described in the menu, and had to deal with a really bad waitress and insensitive and deceitful manager to top off the whole experience. \n\nI am never going to come back to any Eat N Park location ever again, and will never recommend one to any of my friends either. What a waste of time and money! Plus dealing with callous and lying people - my goodness, I surely had my patience tested this evening!",0,"Our experience at the Eat N Park at Waterfront on 2/12/10 around 10pm was absolutely terrible. Our server, Annemarie, was not attentive and brought us the wrong order. We ended up receiving a dish we hadn't requested and were still billed for it. 

One of my friends ordered a Buffalo Chicken Sandwich, which the menu described as including lettuce and tomato. However, when the sandwich arrived, it lacked both ingredients. When we mentioned this to the waitress, she simply brought a plate of lettuce and tomatoes—how unsophisticated!

After paying the full bill, we spoke to the manager, who didn't even offer a refund for the item we hadn't ordered but were served anyway. 

When I inquired about the missing lettuce and tomato on the Buffalo Chicken Sandwich, the manager claimed they had new menus and the description was incorrect, asserting that the sandwich wasn’t supposed to include them. What a pathetic excuse! Even your online menu states that the sandwich is ""Served with lettuce and tomato on a fresh-baked Kaiser roll."" That's exactly what the description says. Shame on the manager for lying! Instead of admitting her mistake, she blamed a new menu.

Not only did we have to pay for something we neither ordered nor consumed, but the food we received was substandard and different from the menu description, compounded by a poor waitress and a dishonest, insensitive manager, making the entire experience dreadful.

I will never return to any Eat N Park location, nor will I recommend it to any of my friends. It was a complete waste of time and money! Plus, having to deal with uncaring and dishonest individuals—my patience was thoroughly tested this evening!",0.8879223,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
Mmm...peppermint mocha\n\nIn my quest to visit every Starbucks in the USA I have stopped at yet another location.  This one is located in the center of a circle road -- very cache and in a newer part of the area.,2,"Mmm...peppermint mocha

In my journey to visit every Starbucks across the USA, I've paused at yet another branch. This particular one sits right in the middle of a roundabout—very trendy and situated in a more recently developed section of the region.",0.85799956,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"If there was ever a \""get your coffee and go\"" Starbucks, this is it. Right in the center of the Waterfront, this Starbucks has no sofa, comfy chairs, only table seating. I love the baristas here, But I don't like the location of the building.",1,"This Starbucks is definitely a ""grab your coffee and leave"" kind of place. Located right in the heart of the Waterfront, it lacks sofas and comfy chairs, offering only table seating. I really appreciate the baristas here, but I'm not a fan of where the building is situated.",0.9144021,YES,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Mixed']","['Neutral', 'Negative', 'Neutral', 'Neutral', 'Neutral']",1.0,1.0,0.8,0.8,Neutral,Neutral,Neutral,Neutral,False,False
This Starbucks is teeny-tiny!\n\nSeating inside is VERY limited.  This is a Starbucks to grab and go and continue your shopping at the Waterfront.\n\nBaristas are friendly and fast.,1,This Starbucks location is quite small!\n\nThere is VERY little seating available indoors. It's a spot where you grab your coffee and head back to your shopping at the Waterfront.\n\nThe baristas are pleasant and efficient.,0.8523964,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",1.0,1.0,1.0,1.0,Positive,Neutral,Positive,Neutral,True,True
"As far as Starbucks go, this is a pretty nice one.  The baristas are friendly and while I was here, a lot of regulars must have come in, because they bantered away with almost everyone.  The bathroom was clean and well maintained and the trash wasn't overflowing in the canisters around the store.  The pastries looked fresh, but I didn't partake.  The noise level was also at a nice working level - not too loud, music just barely audible.\n\nI do wish there was more seating.  It is nice that this location has a counter at the end of the bar for sole workers, but it doesn't replace more tables.  I'm sure this isn't as much of a problem in the summer when there's the space outside.\n\nThere was a treat receipt promo going on, but the barista didn't tell me about it, which I found odd.  Usually when they have promos like that going on, they ask everyone if they want their receipt to come back later in the day to claim whatever the offer is.  Today it was one of their new pastries for $1, I know in the summer they do $2 grande iced drinks with that morning's receipt.\n\nOverall, nice working or socializing environment.  Very friendly and inviting.  It's what I've come to expect from Starbucks, so points for consistency.",2,"For a Starbucks location, this one is quite pleasant. The baristas are welcoming, and during my visit, it seemed many regulars came in, as they chatted with nearly everyone. The restroom was clean and well-kept, and the trash bins throughout the store were not overflowing. The pastries appeared fresh, although I didn't try any. The noise level was conducive to work—not too loud, with the music just barely audible.

I do wish there were more seating options. It's nice that there is a counter at the end of the bar for individual workers, but it doesn't make up for the lack of tables. I'm sure this is less of an issue in the summer when there's outdoor space available.

There was a treat receipt promotion happening, but the barista didn't inform me about it, which I found unusual. Usually, when such promotions are active, they ask if customers want their receipt to return later and take advantage of the offer. Today, it was one of their new pastries for $1. In the summer, they offer $2 grande iced drinks with that morning's receipt.

Overall, it's a nice place for working or socializing, very friendly and welcoming. It aligns with what I expect from Starbucks, so they get points for consistency.",0.89858073,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
"I'm not a huge fan of this location. I think that it was oddly built- the small, alley-like front makes it difficult to get past people on your way to/from the bathroom or tables when it's busy. And there's hardly any tables to sit at. Furthermore, people tend to clog the front on their way in, which makes things particularly difficult (especially in the winter weather). The staff were pretty impersonal to be, but maybe that was due to the high traffic of the place and the time I was there. And the coffee that I had was cold- I'm sure it was probably the bottom of the batch. I'd probably only walk in here again if someone else suggested it before or after a movie or while we were shopping in the area.",1,"I'm not particularly fond of this spot. It seems oddly designed—the narrow, alley-like entrance makes navigating around people tricky when heading to or from the bathroom or tables during busy times. There are also very few tables available. Additionally, people tend to block the entrance as they come in, which is especially problematic in winter. The staff seemed rather impersonal, though that might have been due to the place being crowded and the time I visited. The coffee I had was cold, likely the last of the batch. I'd probably only return if someone else suggested it while we were in the area for a movie or shopping.",0.8568562,YES,"['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']",1.0,1.0,1.0,1.0,Negative,Negative,Negative,Negative,False,False
"This Starbucks is 5-Star Friendly. The shift supervisor Lucious keeps the energy in there moving and light. He recently helped me with a merchandise return and embodied everything a good manager and all around mensch person should - patience, kindness, generosity and fairness. I left that afternoon loving Starbucks even more than when I went in. It's great that a company and their employees can be as loyal to their customers as their customers are to them.",4,"This Starbucks location offers a 5-star friendly experience. Shift supervisor Lucious ensures the atmosphere is lively and welcoming. He recently assisted me with a merchandise return and exemplified the qualities of an excellent manager and genuinely good person—patience, kindness, generosity, and fairness. I departed that day with an even greater appreciation for Starbucks than I had when I arrived. It's wonderful to see a company and its staff being as devoted to their customers as the customers are to them.",0.91885006,YES,"['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']",1.0,1.0,1.0,1.0,Positive,Positive,Positive,Positive,False,False
